cell,donor_id,group,cell_type
DEMO_CELL_001,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_002,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_003,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_004,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_005,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_006,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_007,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_008,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_009,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_010,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_011,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_012,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_013,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_014,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_015,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_016,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_017,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_018,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_019,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_020,DEMO_DONOR_01,CN-Male,CD8 T
DEMO_CELL_021,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_022,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_023,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_024,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_025,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_026,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_027,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_028,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_029,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_030,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_031,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_032,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_033,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_034,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_035,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_036,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_037,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_038,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_039,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_040,DEMO_DONOR_02,CN-Male,CD8 T
DEMO_CELL_041,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_042,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_043,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_044,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_045,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_046,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_047,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_048,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_049,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_050,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_051,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_052,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_053,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_054,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_055,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_056,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_057,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_058,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_059,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_060,DEMO_DONOR_03,CN-Male,CD8 T
DEMO_CELL_061,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_062,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_063,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_064,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_065,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_066,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_067,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_068,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_069,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_070,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_071,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_072,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_073,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_074,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_075,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_076,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_077,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_078,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_079,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_080,DEMO_DONOR_04,LOY,CD8 T
DEMO_CELL_081,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_082,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_083,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_084,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_085,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_086,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_087,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_088,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_089,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_090,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_091,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_092,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_093,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_094,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_095,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_096,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_097,DEMO_DONOR_05,LOY,CD8 T
DEMO_CELL_098,DEMO_DONOR_05,LOY,CD8 T
