gene,DEMO_CELL_001,DEMO_CELL_002,DEMO_CELL_003,DEMO_CELL_004,DEMO_CELL_005,DEMO_CELL_006,DEMO_CELL_007,DEMO_CELL_008,DEMO_CELL_009,DEMO_CELL_010,DEMO_CELL_011,DEMO_CELL_012,DEMO_CELL_013,DEMO_CELL_014,DEMO_CELL_015,DEMO_CELL_016,DEMO_CELL_017,DEMO_CELL_018,DEMO_CELL_019,DEMO_CELL_020,DEMO_CELL_021,DEMO_CELL_022,DEMO_CELL_023,DEMO_CELL_024,DEMO_CELL_025,DEMO_CELL_026,DEMO_CELL_027,DEMO_CELL_028,DEMO_CELL_029,DEMO_CELL_030,DEMO_CELL_031,DEMO_CELL_032,DEMO_CELL_033,DEMO_CELL_034,DEMO_CELL_035,DEMO_CELL_036,DEMO_CELL_037,DEMO_CELL_038,DEMO_CELL_039,DEMO_CELL_040,DEMO_CELL_041,DEMO_CELL_042,DEMO_CELL_043,DEMO_CELL_044,DEMO_CELL_045,DEMO_CELL_046,DEMO_CELL_047,DEMO_CELL_048,DEMO_CELL_049,DEMO_CELL_050,DEMO_CELL_051,DEMO_CELL_052,DEMO_CELL_053,DEMO_CELL_054,DEMO_CELL_055,DEMO_CELL_056,DEMO_CELL_057,DEMO_CELL_058,DEMO_CELL_059,DEMO_CELL_060,DEMO_CELL_061,DEMO_CELL_062,DEMO_CELL_063,DEMO_CELL_064,DEMO_CELL_065,DEMO_CELL_066,DEMO_CELL_067,DEMO_CELL_068,DEMO_CELL_069,DEMO_CELL_070,DEMO_CELL_071,DEMO_CELL_072,DEMO_CELL_073,DEMO_CELL_074,DEMO_CELL_075,DEMO_CELL_076,DEMO_CELL_077,DEMO_CELL_078,DEMO_CELL_079,DEMO_CELL_080,DEMO_CELL_081,DEMO_CELL_082,DEMO_CELL_083,DEMO_CELL_084,DEMO_CELL_085,DEMO_CELL_086,DEMO_CELL_087,DEMO_CELL_088,DEMO_CELL_089,DEMO_CELL_090,DEMO_CELL_091,DEMO_CELL_092,DEMO_CELL_093,DEMO_CELL_094,DEMO_CELL_095,DEMO_CELL_096,DEMO_CELL_097,DEMO_CELL_098,DEMO_CELL_099,DEMO_CELL_100,DEMO_CELL_101,DEMO_CELL_102,DEMO_CELL_103,DEMO_CELL_104,DEMO_CELL_105,DEMO_CELL_106,DEMO_CELL_107,DEMO_CELL_108,DEMO_CELL_109,DEMO_CELL_110,DEMO_CELL_111,DEMO_CELL_112,DEMO_CELL_113,DEMO_CELL_114,DEMO_CELL_115,DEMO_CELL_116,DEMO_CELL_117,DEMO_CELL_118,DEMO_CELL_119,DEMO_CELL_120
SIMGENE0001,13,22,19,20,6,13,19,5,17,3,8,3,5,14,5,3,5,22,1,3,7,7,7,3,5,12,3,7,17,3,15,6,7,15,1,2,3,9,3,7,47,42,13,13,7,43,7,16,7,1,9,34,47,5,13,9,15,6,10,10,29,31,27,23,16,80,16,44,9,17,2,25,39,21,18,16,11,3,48,20,12,24,45,4,11,39,62,18,56,54,32,36,33,14,32,25,28,35,8,35,23,131,10,8,90,69,20,23,21,32,32,16,64,25,42,19,28,48,21,14
SIMGENE0002,3,1,4,3,6,6,5,6,8,3,10,1,2,2,16,3,6,8,5,3,3,4,8,5,16,4,4,1,6,4,4,7,7,5,8,5,9,1,3,4,4,1,2,2,6,2,2,4,7,7,0,5,2,11,5,2,3,9,3,2,8,10,26,7,11,6,15,7,2,5,18,5,19,8,11,13,8,16,10,8,13,7,1,12,8,20,54,21,13,30,34,6,22,12,21,8,13,18,9,15,10,7,8,8,8,8,13,8,7,3,17,5,3,4,3,10,6,23,3,5
SIMGENE0003,11,13,6,8,9,14,19,13,34,1,18,28,20,16,5,1,12,19,22,4,4,3,2,3,2,27,10,7,16,4,20,8,6,13,8,2,4,15,22,21,19,8,5,8,6,10,15,4,7,7,27,1,20,5,19,11,6,20,9,19,28,27,28,22,5,12,64,5,48,45,61,34,34,83,25,20,54,21,31,15,6,34,16,9,20,23,6,42,4,9,13,29,11,10,22,4,4,18,18,20,10,31,13,25,16,17,32,19,11,20,9,25,6,7,38,13,19,21,20,28
SIMGENE0004,5,13,21,8,3,15,23,1,3,15,13,11,4,10,3,10,10,8,8,17,9,20,25,10,14,27,20,10,7,10,15,18,4,2,15,6,4,9,12,15,4,9,16,3,7,11,3,8,15,7,9,13,2,1,2,4,7,16,15,11,57,31,131,25,33,21,94,90,71,4,26,81,49,60,60,52,55,55,12,41,2,17,38,24,9,10,9,12,8,13,5,34,73,26,17,8,45,19,29,19,88,4,38,39,28,13,17,18,36,24,77,6,19,32,17,28,19,66,77,19
SIMGENE0005,6,8,10,4,4,4,4,3,7,7,13,23,3,12,10,3,3,3,0,16,3,1,3,3,2,2,5,3,3,6,3,10,10,1,10,3,11,1,10,0,12,8,20,9,3,5,9,12,3,9,8,1,11,10,6,4,4,13,7,13,37,22,20,23,17,34,8,14,17,52,6,14,44,18,47,9,33,13,20,8,24,10,16,4,23,50,11,12,8,6,33,4,39,50,21,20,34,19,21,50,11,3,9,23,12,8,8,10,14,8,19,15,4,39,20,17,7,10,15,29
SIMGENE0006,4,10,9,4,2,5,8,15,1,4,1,13,7,10,4,14,9,6,7,23,1,17,15,19,6,1,22,16,13,5,16,17,9,1,11,9,5,8,8,5,7,2,8,12,5,4,1,10,2,9,8,6,5,11,5,8,2,30,6,12,42,39,101,14,22,20,15,8,20,3,14,63,25,12,17,23,11,28,30,6,32,47,7,10,63,25,37,58,36,33,30,35,48,13,18,14,77,35,117,83,11,70,24,13,20,26,26,12,28,64,33,60,36,10,36,80,12,87,29,82
SIMGENE0007,5,4,4,1,1,1,3,1,1,2,1,4,3,0,1,1,2,11,5,1,1,5,1,2,2,4,3,0,1,2,3,2,4,4,3,0,3,1,3,1,3,3,4,1,3,3,3,4,7,7,2,3,4,6,3,8,10,2,2,1,22,1,5,10,8,10,4,7,7,8,3,2,12,2,6,6,7,6,8,5,6,5,11,9,18,7,2,2,1,3,8,26,14,10,9,4,6,8,2,7,2,17,13,6,8,20,20,24,4,6,10,7,7,3,7,16,9,9,5,6
SIMGENE0008,3,23,14,13,18,12,1,6,4,3,9,12,1,19,42,3,3,5,15,24,2,12,10,3,10,12,3,7,1,13,6,5,11,1,1,23,4,9,7,7,4,9,18,21,11,4,24,10,6,12,20,4,5,11,14,11,3,12,7,16,43,2,11,13,22,13,16,28,19,14,12,13,9,39,2,32,10,8,43,22,15,45,31,14,45,48,49,23,16,39,33,27,29,48,50,23,20,42,22,9,45,28,24,21,79,11,6,32,35,16,21,38,9,21,13,26,5,26,47,37
SIMGENE0009,3,11,21,3,5,1,11,4,2,2,4,6,18,6,6,18,3,2,4,6,5,8,11,12,29,3,14,6,4,21,18,15,7,6,11,24,23,1,10,2,11,23,20,16,9,9,13,40,9,11,4,4,8,5,6,11,7,7,6,7,17,24,20,32,36,26,30,21,13,10,25,47,23,10,19,15,14,2,30,13,8,33,43,19,12,51,20,17,3,22,10,46,22,18,32,24,28,42,47,25,12,22,27,12,12,45,31,71,56,17,4,20,47,18,9,37,62,188,29,8
SIMGENE0010,2,3,2,3,1,8,5,3,1,5,3,1,2,5,0,13,4,7,5,2,3,4,1,3,1,2,4,2,5,1,4,2,3,5,1,4,3,2,1,3,6,4,4,1,2,2,3,1,4,2,2,2,2,10,10,3,2,3,1,1,11,21,41,5,8,4,6,14,11,22,18,20,4,20,43,4,11,12,4,29,18,4,9,6,12,15,4,4,4,9,9,11,5,3,5,9,12,0,7,9,18,9,9,17,11,4,39,38,8,11,10,8,12,49,13,9,7,6,31,7
