Package	Version
abind	1.4-8
askpass	1.2.1
backports	1.5.1
base	4.4.3
base64enc	0.1-6
base64url	1.4
beeswarm	0.4.0
BH	1.87.0-1
bitops	1.0-9
bslib	0.12.0
cachem	1.1.0
Cairo	1.7-0
callr	3.7.6
caTools	1.18.4
cli	3.6.6
cluster	2.1.8.3
codetools	0.2-20
colorspace	2.1-3
commonmark	2.0.0
compiler	4.4.3
cowplot	1.2.0
cpp11	0.5.5
crayon	1.5.3
crosstalk	1.2.2
curl	8.0.0
data.table	1.18.6.1
datasets	4.4.3
deldir	2.0-4
digest	0.6.39
dotCall64	1.2
dplyr	1.2.1
dqrng	0.3.2
ellipsis	0.3.3
evaluate	1.0.5
fansi	1.0.7
farver	2.1.2
fastDummies	1.7.6
fastmap	1.2.0
fitdistrplus	1.2-6
FNN	1.1.4.1
fontawesome	0.5.3
fs	2.1.0
future	1.75.0
future.apply	1.20.2
generics	0.1.4
ggbeeswarm	0.7.3
ggplot2	4.0.3
ggrastr	1.0.2
ggrepel	0.9.8
ggridges	0.5.7
globals	0.19.1
glue	1.8.1
goftest	1.2-3
gplots	3.3.0
graphics	4.4.3
grDevices	4.4.3
grid	4.4.3
gridExtra	2.3.1
gtable	0.3.6
gtools	3.9.5
here	1.0.2
hexbin	1.28.6
highr	0.12
htmltools	0.5.9
htmlwidgets	1.6.4
httpuv	1.6.17
httr	1.4.9
ica	1.0-3
igraph	2.3.3
irlba	2.3.7
isoband	0.3.0
jquerylib	0.1.4
jsonlite	2.0.0
KernSmooth	2.23-26
knitr	1.51
labeling	0.4.3
later	1.4.8
lattice	0.23-1
lazyeval	0.2.3
leidenbase	0.1.36
lifecycle	1.0.5
listenv	1.0.0
lmtest	0.9-40
magrittr	2.0.5
MASS	7.3-66
Matrix	1.7-6
matrixStats	1.5.0
memoise	2.0.1
methods	4.4.3
mime	0.13
miniUI	0.1.2
munsell	0.5.1
nlme	3.1-170
openssl	2.4.2
otel	0.2.0
parallel	4.4.3
parallelly	1.48.0
patchwork	1.3.2
pbapply	1.7-4
pillar	1.11.1
pkgconfig	2.0.3
plotly	4.12.1
plyr	1.8.9
png	0.1-9
polyclip	1.10-7
prettyunits	1.2.0
processx	3.9.0
progressr	1.0.0
promises	1.5.0
ps	1.9.3
purrr	1.2.2
qs	0.27.3
qs2	0.1.6
R6	2.6.1
ragg	1.5.2
RANN	2.6.2
RApiSerialize	0.1.4
rappdirs	0.3.4
RColorBrewer	1.1-3
Rcpp	1.1.2
RcppAnnoy	0.0.23
RcppArmadillo	15.4.2-1
RcppEigen	0.3.4.0.2
RcppHNSW	0.7.0
RcppParallel	5.1.11-2
RcppProgress	0.4.2
RcppTOML	0.2.3
reshape2	1.4.5
reticulate	1.47.0
rlang	1.3.0
rmarkdown	2.32
ROCR	1.0-12
rprojroot	2.1.1
RSpectra	0.16-2
Rtsne	0.17
S7	0.2.2
sass	0.4.10
scales	1.4.0
scattermore	1.2
sctransform	0.4.3
secretbase	1.3.0
Seurat	5.5.1
SeuratObject	5.4.0
shiny	1.14.0
sitmo	2.0.2
sourcetools	0.1.7-2
sp	2.2-3
spam	2.11-4
spatstat.data	3.1-9
spatstat.explore	3.8-2
spatstat.geom	3.8-2
spatstat.random	3.5-1
spatstat.sparse	3.2-0
spatstat.univar	3.2-0
spatstat.utils	3.2-4
splines	4.4.3
stats	4.4.3
stats4	4.4.3
stringfish	0.17.0
stringi	1.8.9
stringr	1.6.0
survival	3.8-11
sys	3.4.3
systemfonts	1.3.2
targets	1.12.0
tcltk	4.4.3
tensor	1.5.1
textshaping	1.0.5
tibble	3.3.1
tidyr	1.3.2
tidyselect	1.2.1
tinytex	0.60
tools	4.4.3
utf8	1.2.6
utils	4.4.3
uwot	0.2.5
vctrs	0.7.3
vipor	0.4.7
viridisLite	0.4.3
withr	3.0.3
xfun	0.60
xtable	1.8-8
yaml	2.3.12
zoo	1.8-15
