Package	Version	Built
aisdk	1.4.12	R 4.6.1; ; 2026-09-21 17:14:25 UTC; unix
annotate	1.90.0	R 4.6.1; ; 2026-09-13 19:33:18 UTC; unix
AnnotationDbi	1.74.0	R 4.6.1; ; 2026-09-13 19:33:00 UTC; unix
apcluster	1.4.14	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-15 00:13:29 UTC; unix
ape	5.8-1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-21 17:13:56 UTC; unix
aplot	0.3.1	R 4.6.1; ; 2026-09-21 17:16:44 UTC; unix
arrow	25.0.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:53:05 UTC; unix
AsioHeaders	1.30.2-1	R 4.6.1; ; 2026-09-13 19:10:11 UTC; unix
askpass	1.2.1	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:30:07 UTC; unix
assertthat	0.2.1	R 4.6.1; ; 2026-09-13 18:05:30 UTC; unix
assorthead	1.6.3	R 4.6.1; ; 2026-09-13 18:09:39 UTC; unix
AUCell	1.34.0	R 4.6.1; ; 2026-09-13 19:48:50 UTC; unix
babelgene	22.9	R 4.6.1; ; 2026-09-13 20:27:07 UTC; unix
bcellViper	1.48.0	R 4.6.1; ; 2026-09-21 15:00:28 UTC; unix
beachmat	2.28.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:33:03 UTC; unix
beeswarm	0.4.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:09:29 UTC; unix
bigmemory	4.6.6	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:24:39 UTC; unix
bigmemory.sri	0.1.8	R 4.6.1; ; 2026-09-13 19:12:11 UTC; unix
BiocGenerics	0.58.1	R 4.6.1; ; 2026-09-13 18:09:35 UTC; unix
BiocIO	1.22.0	R 4.6.1; ; 2026-09-13 18:26:48 UTC; unix
biocmake	1.4.0	R 4.6.1; ; 2026-09-13 18:26:01 UTC; unix
BiocManager	1.30.27	R 4.6.1; ; 2026-09-13 18:09:19 UTC; unix
BiocNeighbors	2.6.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:35:46 UTC; unix
BiocSingular	1.28.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:36:31 UTC; unix
BiocVersion	3.23.1	R 4.6.1; ; 2026-09-13 18:25:01 UTC; unix
Biostrings	2.80.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:31:15 UTC; unix
bit	4.6.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:28:34 UTC; unix
bit64	4.8.6	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:28:57 UTC; unix
blob	1.3.0	R 4.6.1; ; 2026-09-13 19:35:05 UTC; unix
bluster	1.22.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:32:07 UTC; unix
brew	1.0-10	R 4.6.1; ; 2026-09-13 19:11:21 UTC; unix
brio	1.1.5	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:11:26 UTC; unix
Cairo	1.7-0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:14:52 UTC; unix
callr	3.8.0	R 4.6.1; ; 2026-09-13 18:07:01 UTC; unix
caTools	1.18.4	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 17:34:07 UTC; unix
cellranger	1.1.0	R 4.6.1; ; 2026-09-13 17:59:04 UTC; unix
